expression,meaning,nuance,example_en,example_ko,similar,category,level,frequency
figure out,알아내다 / 이해하다,생각해서 답이나 방법을 찾아내는 느낌입니다.,We'll figure it out.,우리가 방법을 찾아낼 거야.,find out · work out,구동사,B1,5
let me know,알려줘,나중에 결과나 결정을 알려달라는 자연스러운 표현입니다.,Let me know when you're ready.,준비되면 알려줘.,tell me · keep me posted,구어체,A2,5
come on,에이 / 제발 / 빨리,"재촉, 불만, 놀람 등 상황에 따라 넓게 씁니다.","Come on, we're going to be late.","빨리, 우리 늦겠어.",hurry up · seriously,리액션,A2,5
hold on,잠깐만,전화나 대화에서 잠시 기다려 달라는 표현입니다.,Hold on a second.,잠깐만.,hang on · wait a sec,구어체,A2,5
fair enough,그건 인정 / 일리 있네,상대 의견이 타당하다고 인정할 때 씁니다.,Fair enough. I see your point.,그건 인정. 네 말이 무슨 뜻인지 알겠어.,that's fair · makes sense,리액션,B1,4
I'm on my way,지금 가는 중이야,약속 장소로 이동 중일 때 매우 자주 씁니다.,I'm on my way now.,지금 가는 중이야.,heading there · coming now,일상,A2,5
sounds good,좋아 / 괜찮네,제안에 자연스럽게 동의할 때 씁니다.,Sounds good to me.,난 좋아.,works for me · great,리액션,A2,5
my bad,내 실수야 / 미안,가볍게 자기 실수를 인정하는 캐주얼 표현입니다.,"My bad, I forgot.","내 실수야, 깜빡했어.",sorry · that's on me,슬랭,B1,4
no worries,괜찮아 / 신경 쓰지 마,사과나 감사에 편하게 응답할 때 씁니다.,"No worries, it's fine.","괜찮아, 문제 없어.",it's okay · no problem,리액션,A2,5
give it a shot,한번 해봐,부담 없이 시도해 보라고 권할 때 씁니다.,Give it a shot. You might like it.,한번 해봐. 마음에 들 수도 있어.,try it · have a go,구어체,B1,4
