rank,word,meaning_ko,example_en,pos,cefr,score,subtlex_count,opensubtitles_count,source
1,suppose,만일,I suppose we could try again.,other,B1,90.39,19484,228584,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
2,wonder,궁금하다,I wonder why he left.,other,B1,88.19,10254,135879,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
3,seem,~인 것 같다,You seem a little tired today.,verb,A2,86.38,18494,276144,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
4,actually,막상,"Actually, I changed my mind.",other,A2,86.14,16439,279595,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
5,weird,기묘한,That's kind of weird.,other,B1,85.85,5164,78580,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
6,bother,번민하다,Sorry to bother you.,other,B1,85.72,5259,70205,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
7,probably,아마도,I'll probably stay home tonight.,adverb,A2,85.35,14323,202736,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
8,chance,기회,There's a good chance he'll come.,other,A2,85.14,13798,185790,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
9,definitely,단연,I'll definitely call you later.,other,B1,85.06,3848,71524,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
10,exactly,마침,That's exactly what I mean.,other,A2,84.97,12607,189513,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
11,anyway,어쨌든,"Anyway, what were you saying?",other,A2,84.84,12608,173628,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
12,deserve,~할 자격이 있다,You deserve a break.,other,B1,84.65,3601,60025,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
13,obviously,분명히,"Obviously, we need a better plan.",other,B1,84.13,3082,53527,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
14,expect,기대하다,I didn't expect that at all.,other,A2,83.65,9081,127412,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
15,ridiculous,우스꽝스러운,That's absolutely ridiculous.,other,B1,83.44,2836,38121,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
16,otherwise,그렇지 않으면,"Hurry up, otherwise we'll be late.",other,B1,82.99,2119,43596,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
17,somehow,좌우간,We'll make it work somehow.,other,B1,82.82,2310,34291,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
18,pretend,공상상의,Don't pretend you didn't know.,other,B2,82.76,3197,49267,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
19,afford,여유가 되다,I can't afford to buy it right now.,other,B1,82.63,2315,29976,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
20,handle,다루다,"Don't worry, I can handle it.",other,A2,82.45,6984,84635,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
21,choice,선택,I don't think we have much choice.,other,A2,82.01,5611,87345,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
22,notice,고지,Did you notice anything different?,other,A2,81.84,5489,80519,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
23,honestly,진실로,"Honestly, I don't know what to say.",other,B1,81.57,1390,31501,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
24,consider,고려하다,Have you considered moving closer?,verb,A2,81.42,4934,71148,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
25,ignore,무시하다,Just ignore what he said.,other,B1,81.4,1505,24976,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
26,obvious,명백한,The answer seems pretty obvious.,adjective,B1,81.36,1508,24230,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
27,mention,언급하다,Did she mention my name?,other,A2,81.29,4805,67833,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
28,situation,상황,It's a complicated situation.,noun,A2,81.26,4569,71722,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
29,instead,의 대신에,Let's stay home instead.,other,A2,80.99,4043,71571,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
30,regret,낙담,I regret saying that.,other,B2,80.85,1789,32515,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
31,eventually,결국,We'll figure it out eventually.,adverb,B1,80.84,1246,22679,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
32,available,이용 가능한,Are you available this afternoon?,adjective,B1,80.81,1323,20347,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
33,seriously,소중히,Are you seriously doing this now?,other,A2,80.45,3270,68524,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
34,admit,승인하다,"I have to admit, you were right.",other,A2,80.41,3748,54282,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
35,especially,특히,"Never treat anyone like royalty, especially not royalty.",adverb,A2,80.2,3428,54148,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
36,support,지원하다,"If you support Trump, you're a bad person.",verb,A2,80.14,3112,59843,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
37,suggest,제안하다,I suggest we leave early.,verb,A2,80.06,3333,51362,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
38,remind,상기시키다,Remind me to call him later.,other,A2,80.0,3397,47966,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
39,issue,문제,There's one small issue we need to fix.,other,A2,79.9,3024,53100,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
40,reasonable,순리,That sounds reasonable to me.,other,B1,79.25,946,11835,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
41,manage,관리하다,I managed to finish it on time.,verb,A2,79.17,2194,52735,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
42,apparently,명백히,"Apparently, he's already left.",other,A2,78.92,2415,38705,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
43,discover,발견하다,Let them discover their own path forward.,verb,A2,78.89,2285,41039,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
44,however,그러나,I want to help you however I can.,adverb,A2,78.87,2299,40098,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
45,depend,의존하다,It depends on what you want.,other,A2,78.74,2355,35541,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
46,awkward,구차,That was a little awkward.,other,B1,78.72,730,12197,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
47,prefer,선호하다,I'd prefer to stay here.,other,A2,78.42,2032,35634,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
48,literally,용변,I literally just got here.,other,B2,78.14,739,19728,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
49,certain,확실한,He looks like a certain guy I know.,adjective,A2,78.12,4354,61050,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
50,avoid,피하다,I'm trying to avoid traffic.,other,A2,77.96,1746,32807,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
51,familiar,친한,That name sounds familiar.,other,A2,77.48,1770,23348,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
52,develop,발전하다,No one knows what causes some children to develop superpowers.,verb,A2,77.23,1484,25701,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
53,particular,특정한,Are you saying that for any particular reason?,adjective,B2,77.15,1478,23530,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
54,recently,최근에,Have you had a glass of water recently?,adverb,A2,77.07,1328,27204,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
